DATE,RHEACBW027SBOG
2017-06-28,394.577
2017-07-05,394.2452
2017-07-12,393.6409
2017-07-19,393.0448
2017-07-26,392.4417
2017-08-02,391.649
2017-08-09,391.2767
2017-08-16,390.6501
2017-08-23,389.9988
2017-08-30,389.5606
2017-09-06,388.9057
2017-09-13,388.3764
2017-09-20,388.0641
2017-09-27,387.6129
2017-10-04,387.2311
2017-10-11,386.7554
2017-10-18,386.409
2017-10-25,385.7803
2017-11-01,385.0699
2017-11-08,384.6092
2017-11-15,384.0899
2017-11-22,383.8475
2017-11-29,383.6876
2017-12-06,383.6038
2017-12-13,383.1229
2017-12-20,382.7681
2017-12-27,382.3478
2018-01-03,381.5052
2018-01-10,380.7741
2018-01-17,380.0555
2018-01-24,379.0887
2018-01-31,378.2916
2018-02-07,377.8116
2018-02-14,377.0977
2018-02-21,376.2045
2018-02-28,375.2802
2018-03-07,374.2562
2018-03-14,373.0465
2018-03-21,371.776
2018-03-28,370.919
2018-04-04,370.0298
2018-04-11,369.4489
2018-04-18,369.3203
2018-04-25,368.2785
2018-05-02,367.6154
2018-05-09,366.7944
2018-05-16,364.7331
2018-05-23,364.011
2018-05-30,363.4839
2018-06-06,362.8377
2018-06-13,362.1139
2018-06-20,361.6091
2018-06-27,361.2621
2018-07-04,360.6253
2018-07-11,359.8932
2018-07-18,359.3342
2018-07-25,358.8527
2018-08-01,358.0318
2018-08-08,357.5261
2018-08-15,356.9427
2018-08-22,356.3758
2018-08-29,355.9315
2018-09-05,355.4627
2018-09-12,354.8775
2018-09-19,354.5735
2018-09-26,353.841
2018-10-03,353.7523
2018-10-10,353.6669
2018-10-17,353.3668
2018-10-24,353.1384
2018-10-31,352.7249
2018-11-07,352.1943
2018-11-14,351.7619
2018-11-21,351.429
2018-11-28,351.2646
2018-12-05,350.8065
2018-12-12,350.3248
2018-12-19,349.9774
2018-12-26,348.9067
2019-01-02,351.9245
2019-01-09,351.1638
2019-01-16,350.6712
2019-01-23,350.1142
2019-01-30,349.2427
2019-02-06,348.4887
2019-02-13,347.9465
2019-02-20,347.3018
2019-02-27,346.5128
2019-03-06,345.7607
2019-03-13,344.7618
2019-03-20,343.3907
2019-03-27,342.3682
2019-04-03,341.8348
2019-04-10,341.6607
2019-04-17,341.7662
2019-04-24,340.8199
2019-05-01,340.3132
2019-05-08,339.4135
2019-05-15,338.9637
2019-05-22,338.4843
2019-05-29,338.0619
2019-06-05,337.6034
2019-06-12,336.9918
2019-06-19,336.7605
2019-06-26,336.0773
2019-07-03,334.9118
2019-07-10,334.4919
2019-07-17,333.8921
2019-07-24,333.2987
2019-07-31,333.1745
2019-08-07,332.7765
2019-08-14,332.1457
2019-08-21,331.8806
2019-08-28,331.2927
2019-09-04,330.757
2019-09-11,330.1402
2019-09-18,329.9499
2019-09-25,329.4288
2019-10-02,328.2
2019-10-09,327.3475
2019-10-16,327.3892
2019-10-23,326.9805
2019-10-30,326.266
2019-11-06,326.2587
2019-11-13,325.3338
2019-11-20,324.8678
2019-11-27,324.378
2019-12-04,323.9591
2019-12-11,323.4418
2019-12-18,322.6924
2019-12-25,321.9408
2020-01-01,321.6945
2020-01-08,321.1917
2020-01-15,320.4721
2020-01-22,319.826
2020-01-29,319.1577
2020-02-05,318.5365
2020-02-12,317.685
2020-02-19,316.9637
2020-02-26,316.3642
2020-03-04,315.7802
2020-03-11,315.6735
2020-03-18,316.6509
2020-03-25,317.0833
2020-04-01,316.6884
2020-04-08,316.2239
2020-04-15,314.1806
2020-04-22,313.8591
2020-04-29,312.871
2020-05-06,311.9945
2020-05-13,310.9608
2020-05-20,310.1358
2020-05-27,309.1763
2020-06-03,308.0748
2020-06-10,307.3865
2020-06-17,306.4438
2020-06-24,305.3812
2020-07-01,304.7695
2020-07-08,304.0069
2020-07-15,303.6071
2020-07-22,302.8472
2020-07-29,302.0331
2020-08-05,300.8409
2020-08-12,300.1024
2020-08-19,299.2531
2020-08-26,298.6522
2020-09-02,297.6499
2020-09-09,296.8531
2020-09-16,295.9366
2020-09-23,295.0649
2020-09-30,294.3931
2020-10-07,293.6825
2020-10-14,292.652
2020-10-21,291.6315
2020-10-28,290.8333
2020-11-04,290.0976
2020-11-11,289.6596
2020-11-18,288.7123
2020-11-25,287.6811
2020-12-02,286.5494
2020-12-09,286.059
2020-12-16,285.0965
2020-12-23,284.0944
2020-12-30,283.2766
2021-01-06,283.3741
2021-01-13,282.285
2021-01-20,281.2656
2021-01-27,279.9507
2021-02-03,278.37
2021-02-10,277.5054
2021-02-17,276.0292
2021-02-24,274.9397
2021-03-03,273.7145
